game_id,season,week,game_date,home_team,away_team,home_coach,away_coach,roof,surface,temp,wind,spread_line,total_line
2025_10_LA_SF,2025,10,2025-11-09,SF,LA,Kyle Shanahan,Sean McVay,outdoors,grass,77.0,3.0,-5.5,49.5
2025_10_LV_DEN,2025,10,2025-11-06,DEN,LV,Sean Payton,Pete Carroll,outdoors,grass,60.0,10.0,9.5,42.5
2025_10_NE_TB,2025,10,2025-11-09,TB,NE,Todd Bowles,Mike Vrabel,outdoors,grass,82.0,11.0,2.5,48.5
2025_10_NO_CAR,2025,10,2025-11-09,CAR,NO,Dave Canales,Kellen Moore,outdoors,grass,73.0,15.0,5.5,38.5
2025_10_NYG_CHI,2025,10,2025-11-09,CHI,NYG,Ben Johnson,Brian Daboll,outdoors,grass,33.0,10.0,4.5,45.5
2025_10_PHI_GB,2025,10,2025-11-10,GB,PHI,Matt LaFleur,Nick Sirianni,outdoors,grass,33.0,9.0,1.5,45.5
2025_10_PIT_LAC,2025,10,2025-11-09,LAC,PIT,Jim Harbaugh,Mike Tomlin,dome,matrixturf,,,3.0,45.5
2025_11_BAL_CLE,2025,11,2025-11-16,CLE,BAL,Kevin Stefanski,John Harbaugh,outdoors,grass,44.0,20.0,-7.5,37.5
2025_11_CAR_ATL,2025,11,2025-11-16,ATL,CAR,Raheem Morris,Dave Canales,closed,fieldturf,,,4.5,42.5
2025_11_CHI_MIN,2025,11,2025-11-16,MIN,CHI,Kevin O'Connell,Ben Johnson,dome,sportturf,,,3.0,47.5
2025_11_CIN_PIT,2025,11,2025-11-16,PIT,CIN,Mike Tomlin,Zac Taylor,outdoors,grass,46.0,17.0,5.5,48.5
2025_11_DAL_LV,2025,11,2025-11-17,LV,DAL,Pete Carroll,Brian Schottenheimer,dome,grass,,,-3.5,48.5
2025_11_DET_PHI,2025,11,2025-11-16,PHI,DET,Nick Sirianni,Dan Campbell,outdoors,grass,45.0,15.0,2.5,46.5
2025_11_GB_NYG,2025,11,2025-11-16,NYG,GB,Brian Daboll,Matt LaFleur,outdoors,fieldturf,55.0,17.0,-7.5,41.5
2025_11_HOU_TEN,2025,11,2025-11-16,TEN,HOU,Brian Callahan,DeMeco Ryans,outdoors,grass,64.0,8.0,-5.5,37.5
2025_11_KC_DEN,2025,11,2025-11-16,DEN,KC,Sean Payton,Andy Reid,outdoors,grass,70.0,6.0,-3.5,44.5
2025_11_LAC_JAX,2025,11,2025-11-16,JAX,LAC,Liam Coen,Jim Harbaugh,outdoors,grass,74.0,9.0,-3.0,43.5
2025_11_NYJ_NE,2025,11,2025-11-13,NE,NYJ,Mike Vrabel,Aaron Glenn,outdoors,fieldturf,39.0,9.0,12.5,43.5
2025_11_SEA_LA,2025,11,2025-11-16,LA,SEA,Sean McVay,Mike Macdonald,dome,matrixturf,,,3.0,49.5
2025_11_SF_ARI,2025,11,2025-11-16,ARI,SF,Jonathan Gannon,Kyle Shanahan,closed,grass,,,-3.5,48.5
2025_11_TB_BUF,2025,11,2025-11-16,BUF,TB,Sean McDermott,Todd Bowles,outdoors,a_turf,38.0,20.0,6.0,46.5
2025_11_WAS_MIA,2025,11,2025-11-16,MIA,WAS,Mike McDaniel,Dan Quinn,outdoors,grass,,,2.5,47.5
2025_12_ATL_NO,2025,12,2025-11-23,NO,ATL,Kellen Moore,Raheem Morris,dome,sportturf,,,1.5,41.5
2025_12_BUF_HOU,2025,12,2025-11-20,HOU,BUF,DeMeco Ryans,Sean McDermott,closed,astroturf,,,-5.5,43.5
2025_12_CAR_SF,2025,12,2025-11-24,SF,CAR,Kyle Shanahan,Dave Canales,outdoors,grass,58.0,3.0,7.5,48.5
2025_12_CLE_LV,2025,12,2025-11-23,LV,CLE,Pete Carroll,Kevin Stefanski,dome,grass,,,3.0,35.5
2025_12_IND_KC,2025,12,2025-11-23,KC,IND,Andy Reid,Shane Steichen,outdoors,grass,,,3.5,50.5
2025_12_JAX_ARI,2025,12,2025-11-23,ARI,JAX,Jonathan Gannon,Liam Coen,closed,grass,,,-2.5,47.5
2025_12_MIN_GB,2025,12,2025-11-23,GB,MIN,Matt LaFleur,Kevin O'Connell,outdoors,grass,43.0,10.0,6.5,41.5
2025_12_NE_CIN,2025,12,2025-11-23,CIN,NE,Zac Taylor,Mike Vrabel,outdoors,fieldturf,54.0,7.0,-7.5,50.5
2025_12_NYG_DET,2025,12,2025-11-23,DET,NYG,Dan Campbell,Brian Daboll,dome,fieldturf,,,14.0,50.5
2025_12_NYJ_BAL,2025,12,2025-11-23,BAL,NYJ,John Harbaugh,Aaron Glenn,outdoors,grass,54.0,3.0,14.0,44.5
2025_12_PHI_DAL,2025,12,2025-11-23,DAL,PHI,Brian Schottenheimer,Nick Sirianni,closed,matrixturf,,,-3.0,47.5
2025_12_PIT_CHI,2025,12,2025-11-23,CHI,PIT,Ben Johnson,Mike Tomlin,outdoors,grass,51.0,3.0,3.0,46.5
2025_12_SEA_TEN,2025,12,2025-11-23,TEN,SEA,Brian Callahan,Mike Macdonald,outdoors,grass,55.0,1.0,-12.5,41.5
2025_12_TB_LA,2025,12,2025-11-23,LA,TB,Sean McVay,Todd Bowles,dome,matrixturf,,,7.0,49.5
2025_13_ARI_TB,2025,13,2025-11-30,TB,ARI,Todd Bowles,Jonathan Gannon,outdoors,grass,80.0,8.0,4.5,44.5
2025_13_ATL_NYJ,2025,13,2025-11-30,NYJ,ATL,Aaron Glenn,Raheem Morris,outdoors,fieldturf,43.0,8.0,-3.0,38.5
2025_13_BUF_PIT,2025,13,2025-11-30,PIT,BUF,Mike Tomlin,Sean McDermott,outdoors,grass,34.0,16.0,-3.0,44.5
2025_13_CHI_PHI,2025,13,2025-11-28,PHI,CHI,Nick Sirianni,Ben Johnson,outdoors,grass,42.0,18.0,7.0,43.5
2025_13_CIN_BAL,2025,13,2025-11-27,BAL,CIN,John Harbaugh,Zac Taylor,outdoors,grass,38.0,11.0,7.0,52.5
2025_13_DEN_WAS,2025,13,2025-11-30,WAS,DEN,Dan Quinn,Sean Payton,outdoors,grass,40.0,13.0,-6.5,43.5
2025_13_GB_DET,2025,13,2025-11-27,DET,GB,Dan Campbell,Matt LaFleur,dome,fieldturf,,,2.5,48.5
2025_13_HOU_IND,2025,13,2025-11-30,IND,HOU,Shane Steichen,DeMeco Ryans,closed,fieldturf,,,3.0,44.5
2025_13_JAX_TEN,2025,13,2025-11-30,TEN,JAX,Brian Callahan,Liam Coen,outdoors,grass,38.0,7.0,-6.0,42.5
2025_13_KC_DAL,2025,13,2025-11-27,DAL,KC,Brian Schottenheimer,Andy Reid,closed,matrixturf,,,-3.5,53.5
2025_13_LA_CAR,2025,13,2025-11-30,CAR,LA,Dave Canales,Sean McVay,outdoors,grass,45.0,3.0,-10.0,44.5
2025_13_LV_LAC,2025,13,2025-11-30,LAC,LV,Jim Harbaugh,Pete Carroll,dome,matrixturf,,,10.0,40.5
2025_13_MIN_SEA,2025,13,2025-11-30,SEA,MIN,Mike Macdonald,Kevin O'Connell,outdoors,fieldturf,45.0,2.0,12.5,42.5
2025_13_NO_MIA,2025,13,2025-11-30,MIA,NO,Mike McDaniel,Kellen Moore,outdoors,grass,76.0,10.0,5.5,41.5
2025_13_NYG_NE,2025,13,2025-12-01,NE,NYG,Mike Vrabel,Brian Daboll,outdoors,fieldturf,30.0,5.0,7.0,46.5
2025_13_SF_CLE,2025,13,2025-11-30,CLE,SF,Kevin Stefanski,Kyle Shanahan,outdoors,grass,35.0,20.0,-5.5,35.5
2025_14_CHI_GB,2025,14,2025-12-07,GB,CHI,Matt LaFleur,Ben Johnson,outdoors,grass,16.0,9.0,6.5,44.5
2025_14_CIN_BUF,2025,14,2025-12-07,BUF,CIN,Sean McDermott,Zac Taylor,outdoors,a_turf,31.0,12.0,6.0,54.5
2025_14_DAL_DET,2025,14,2025-12-04,DET,DAL,Dan Campbell,Brian Schottenheimer,dome,fieldturf,,,3.5,55.5
2025_14_DEN_LV,2025,14,2025-12-07,LV,DEN,Pete Carroll,Sean Payton,dome,grass,,,-8.5,40.5
2025_14_HOU_KC,2025,14,2025-12-07,KC,HOU,Andy Reid,DeMeco Ryans,outdoors,grass,27.0,8.0,4.5,41.5
2025_14_IND_JAX,2025,14,2025-12-07,JAX,IND,Liam Coen,Shane Steichen,outdoors,grass,61.0,7.0,-2.5,44.5
2025_14_LA_ARI,2025,14,2025-12-07,ARI,LA,Jonathan Gannon,Sean McVay,closed,grass,,,-9.5,49.5
2025_14_MIA_NYJ,2025,14,2025-12-07,NYJ,MIA,Aaron Glenn,Mike McDaniel,outdoors,fieldturf,41.0,6.0,-2.5,41.5
2025_14_NO_TB,2025,14,2025-12-07,TB,NO,Todd Bowles,Kellen Moore,outdoors,grass,73.0,6.0,7.5,41.5
2025_14_PHI_LAC,2025,14,2025-12-08,LAC,PHI,Jim Harbaugh,Nick Sirianni,dome,matrixturf,,,-1.5,41.5
2025_14_PIT_BAL,2025,14,2025-12-07,BAL,PIT,John Harbaugh,Mike Tomlin,outdoors,grass,44.0,6.0,5.5,43.5
2025_14_SEA_ATL,2025,14,2025-12-07,ATL,SEA,Raheem Morris,Mike Macdonald,closed,fieldturf,,,-7.0,44.5
2025_14_TEN_CLE,2025,14,2025-12-07,CLE,TEN,Kevin Stefanski,Brian Callahan,outdoors,grass,33.0,6.0,4.5,33.5
2025_14_WAS_MIN,2025,14,2025-12-07,MIN,WAS,Kevin O'Connell,Dan Quinn,dome,sportturf,,,-1.5,43.5
2025_15_ARI_HOU,2025,15,2025-12-14,HOU,ARI,DeMeco Ryans,Jonathan Gannon,closed,astroturf,,,10.5,42.5
2025_15_ATL_TB,2025,15,2025-12-11,TB,ATL,Todd Bowles,Raheem Morris,outdoors,grass,56.0,5.0,6.0,43.5
2025_15_BAL_CIN,2025,15,2025-12-14,CIN,BAL,Zac Taylor,John Harbaugh,outdoors,fieldturf,10.0,7.0,-2.5,51.5
2025_15_BUF_NE,2025,15,2025-12-14,NE,BUF,Mike Vrabel,Sean McDermott,outdoors,fieldturf,32.0,6.0,-2.5,49.5
2025_15_CAR_NO,2025,15,2025-12-14,NO,CAR,Kellen Moore,Dave Canales,dome,sportturf,,,-2.5,41.5
2025_15_CLE_CHI,2025,15,2025-12-14,CHI,CLE,Ben Johnson,Kevin Stefanski,outdoors,grass,8.0,6.0,7.5,38.5
2025_15_DET_LA,2025,15,2025-12-14,LA,DET,Sean McVay,Dan Campbell,dome,matrixturf,,,5.5,54.5
2025_15_GB_DEN,2025,15,2025-12-14,DEN,GB,Sean Payton,Matt LaFleur,outdoors,grass,65.0,3.0,-1.5,42.5
2025_15_IND_SEA,2025,15,2025-12-14,SEA,IND,Mike Macdonald,Shane Steichen,outdoors,fieldturf,51.0,9.0,13.5,41.5
2025_15_LAC_KC,2025,15,2025-12-14,KC,LAC,Andy Reid,Jim Harbaugh,outdoors,grass,,,5.5,41.5
2025_15_LV_PHI,2025,15,2025-12-14,PHI,LV,Nick Sirianni,Pete Carroll,outdoors,grass,30.0,20.0,12.5,37.5
2025_15_MIA_PIT,2025,15,2025-12-15,PIT,MIA,Mike Tomlin,Mike McDaniel,outdoors,grass,17.0,7.0,3.0,42.5
2025_15_MIN_DAL,2025,15,2025-12-14,DAL,MIN,Brian Schottenheimer,Kevin O'Connell,closed,matrixturf,,,5.5,47.5
2025_15_NYJ_JAX,2025,15,2025-12-14,JAX,NYJ,Liam Coen,Aaron Glenn,outdoors,grass,70.0,11.0,13.5,40.5
2025_15_TEN_SF,2025,15,2025-12-14,SF,TEN,Kyle Shanahan,Brian Callahan,outdoors,grass,54.0,4.0,12.5,44.5
2025_15_WAS_NYG,2025,15,2025-12-14,NYG,WAS,Brian Daboll,Dan Quinn,outdoors,fieldturf,27.0,13.0,2.5,46.5
2025_16_ATL_ARI,2025,16,2025-12-21,ARI,ATL,Jonathan Gannon,Raheem Morris,closed,grass,,,-2.5,48.5
2025_16_BUF_CLE,2025,16,2025-12-21,CLE,BUF,Kevin Stefanski,Sean McDermott,outdoors,grass,25.0,16.0,-10.5,41.5
2025_16_CIN_MIA,2025,16,2025-12-21,MIA,CIN,Mike McDaniel,Zac Taylor,outdoors,grass,81.0,7.0,-3.5,48.5
2025_16_GB_CHI,2025,16,2025-12-20,CHI,GB,Ben Johnson,Matt LaFleur,outdoors,grass,37.0,6.0,1.5,45.5
2025_16_JAX_DEN,2025,16,2025-12-21,DEN,JAX,Sean Payton,Liam Coen,outdoors,grass,62.0,3.0,3.5,46.5
2025_16_KC_TEN,2025,16,2025-12-21,TEN,KC,Brian Callahan,Andy Reid,outdoors,grass,51.0,8.0,-3.5,37.5
2025_16_LAC_DAL,2025,16,2025-12-21,DAL,LAC,Brian Schottenheimer,Jim Harbaugh,closed,matrixturf,,,1.5,50.5
2025_16_LA_SEA,2025,16,2025-12-18,SEA,LA,Mike Macdonald,Sean McVay,outdoors,fieldturf,51.0,17.0,1.5,42.5
2025_16_LV_HOU,2025,16,2025-12-21,HOU,LV,DeMeco Ryans,Pete Carroll,closed,astroturf,,,14.5,39.5
2025_16_MIN_NYG,2025,16,2025-12-21,NYG,MIN,Brian Daboll,Kevin O'Connell,outdoors,fieldturf,46.0,20.0,-2.5,41.5
2025_16_NE_BAL,2025,16,2025-12-21,BAL,NE,John Harbaugh,Mike Vrabel,outdoors,grass,40.0,2.0,3.5,48.5
2025_16_NYJ_NO,2025,16,2025-12-21,NO,NYJ,Kellen Moore,Aaron Glenn,dome,sportturf,,,6.5,39.5
2025_16_PHI_WAS,2025,16,2025-12-20,WAS,PHI,Dan Quinn,Nick Sirianni,outdoors,grass,42.0,7.0,-7.0,43.5
2025_16_PIT_DET,2025,16,2025-12-21,DET,PIT,Dan Campbell,Mike Tomlin,dome,fieldturf,,,7.5,52.5
2025_16_SF_IND,2025,16,2025-12-22,IND,SF,Shane Steichen,Kyle Shanahan,closed,fieldturf,,,-4.5,46.5
2025_16_TB_CAR,2025,16,2025-12-21,CAR,TB,Dave Canales,Todd Bowles,outdoors,grass,61.0,8.0,-3.0,44.5
2025_17_ARI_CIN,2025,17,2025-12-28,CIN,ARI,Zac Taylor,Jonathan Gannon,outdoors,fieldturf,65.0,9.0,7.0,52.5
2025_17_BAL_GB,2025,17,2025-12-27,GB,BAL,Matt LaFleur,John Harbaugh,outdoors,grass,36.0,10.0,2.5,38.5
2025_17_CHI_SF,2025,17,2025-12-28,SF,CHI,Kyle Shanahan,Ben Johnson,outdoors,grass,53.0,5.0,3.5,51.5
2025_17_DAL_WAS,2025,17,2025-12-25,WAS,DAL,Dan Quinn,Brian Schottenheimer,outdoors,grass,50.0,7.0,-8.5,50.5
2025_17_DEN_KC,2025,17,2025-12-25,KC,DEN,Andy Reid,Sean Payton,outdoors,grass,,,-13.5,37.5
2025_17_DET_MIN,2025,17,2025-12-25,MIN,DET,Kevin O'Connell,Dan Campbell,dome,sportturf,,,-7.0,45.5
2025_17_HOU_LAC,2025,17,2025-12-27,LAC,HOU,Jim Harbaugh,DeMeco Ryans,dome,matrixturf,,,1.5,40.5
2025_17_JAX_IND,2025,17,2025-12-28,IND,JAX,Shane Steichen,Liam Coen,closed,fieldturf,,,-3.5,48.5
2025_17_LA_ATL,2025,17,2025-12-29,ATL,LA,Raheem Morris,Sean McVay,closed,fieldturf,,,-7.5,48.5
2025_17_NE_NYJ,2025,17,2025-12-28,NYJ,NE,Aaron Glenn,Mike Vrabel,outdoors,fieldturf,29.0,4.0,-12.5,42.5
2025_17_NO_TEN,2025,17,2025-12-28,TEN,NO,Brian Callahan,Kellen Moore,outdoors,grass,71.0,14.0,-1.5,39.5
2025_17_NYG_LV,2025,17,2025-12-28,LV,NYG,Pete Carroll,Brian Daboll,dome,grass,,,-3.0,40.5
2025_17_PHI_BUF,2025,17,2025-12-28,BUF,PHI,Sean McDermott,Nick Sirianni,outdoors,a_turf,38.0,6.0,3.0,45.5
2025_17_PIT_CLE,2025,17,2025-12-28,CLE,PIT,Kevin Stefanski,Mike Tomlin,outdoors,grass,45.0,14.0,-4.5,35.5
2025_17_SEA_CAR,2025,17,2025-12-28,CAR,SEA,Dave Canales,Mike Macdonald,outdoors,grass,43.0,2.0,-6.5,42.5
2025_17_TB_MIA,2025,17,2025-12-28,MIA,TB,Mike McDaniel,Todd Bowles,outdoors,grass,80.0,3.0,-5.5,44.5
2025_18_ARI_LA,2025,18,2026-01-04,LA,ARI,Sean McVay,Jonathan Gannon,dome,matrixturf,,,14.5,49.5
2025_18_BAL_PIT,2025,18,2026-01-04,PIT,BAL,Mike Tomlin,John Harbaugh,outdoors,grass,25.0,3.0,-4.5,41.5
